,Repo,Contributor,Contributions
3507,386,adamwiggins,267
2763,386,fabiokung,5
3093,386,schlu,1
2257,386,ricardochimal,4
178,386,mkhl,19
6811,682,tobi,30
8655,682,jbarnette,2
6621,682,dhh,1
590,682,lukemelia,2
7826,682,brunograsselli,1
581,682,defunkt,4
3007,682,rares,7
7647,682,andersondias,2
8539,682,kch,1
326,682,technoweenie,6
3481,1874,cjheath,107
3825,1874,jgarber,20
7474,1874,mikel,11
2994,1874,alexch,2
2047,1874,nathansobo,95
3550,1874,hagabaka,3
1273,1874,jeremy,11
6743,1874,kassens,5
6196,1874,hipe,23
1057,1874,diegodurs,3
9058,12773,erebor,3
6735,12773,zukunftsalick,6
6343,12773,rab,4
3401,12773,mattetti,62
741,12773,cgriego,2
2489,12773,jakehow,3
6126,12773,kathgironpe,2
7871,12773,jfields,2
6344,12773,betelgeuse,2
8416,12773,aderyabin,23
2050,16001,alerque,1
438,16001,mislav,394
4691,16001,reentim,1
2929,16001,shime,1
4962,16001,tclh123,1
270,16001,rtomayko,1
2127,16001,bastilian,1
98,22826,jordimassaguerpla,1
1057,22826,rafbm,1
433,22826,marcel,76
247,22826,aercolino,5
65,22826,pelargir,2
832,22826,technoweenie,11
1080,22826,nbibler,1
572,22826,orenhe,1
791,22826,marcandre,1
737,22826,bokor,2
1844,27172,daz,1
980,27172,richardaday,3
1232,27172,blueyed,1
2329,27172,bensie,1
1736,27172,ryanb,113
574,28470,amir,31
3298,28470,Flameeyes,8
2245,28470,agimenez,5
2314,28470,gregoa,28
1619,28470,michel-slm,3
2088,28470,bartman,7
1393,28470,paulrho,10
3386,28470,ahf,1
5081,28470,gregkh,196
1966,28470,neuschaefer,4
4104,30949,revgum,1
187,30949,brendanlim,15
1084,30949,sce,1
6301,30949,croaky,1
7059,30949,alekseyg,1
2879,30949,cowboyd,1
4753,32958,febuiles,2
4317,32958,loganb,3
8120,32958,dgtized,1
2812,32958,amanelis,1
5465,32958,gnufied,6
3178,32958,keithrbennett,3
5234,32958,kanwei,203
