,Repo,Contributor,Contributions
1608,30272,larskanis,13
1543,30272,gazayas,14
9484,30272,luislavena,188
7235,30272,jdberry,6
3512,30272,WA9ACE,7
9294,30272,jmetter,19
4954,30272,jamis,67
7599,30272,nurse,17
2175,30272,tenderlove,278
1039,30272,jimflood,11
4845,32399,jhulten,1
2140,32399,drbrain,2
245,32399,lathanh,1
3520,32399,hderms,2
8850,32399,binki,1
6943,32399,voxik,1
5971,32399,jimweirich,80
4875,32399,indirect,1
9146,32399,barttenbrinke,2
7179,32399,nikitug,1
3131,59235,juliuszsompolski,13
4968,59235,hugovk,3
7637,59235,mkleehammer,194
8910,59235,v-makouz,14
7286,59235,v-chojas,23
7274,59235,gordthompson,23
3309,59235,mkfiserv,29
4706,59235,abitrolly,11
3292,59235,ajnelson-nist,2
4767,59235,keitherskine,47
7927,65099,jehiah,1
1309,65099,ervandew,1
6196,65099,kevinw,40
2091,65099,while0pass,1
1298,65099,vimmuse,1
4836,65099,saper,4
4805,65099,domenkozar,1
6421,118360,dylanz,37
7600,118360,smingins,1
4353,118483,tjmw,1
3353,118483,radamanthus,2
5252,118483,ismasan,100
8753,118483,gmodarelli,1
6288,118483,textgoeshere,1
3953,118483,jdeveloper,4
5093,118483,iainbeeston,7
5042,118483,hunter,1
7573,118483,jakeonrails,1
8434,119308,bakkdoor,61
2876,119308,vidarh,1219
1372,123521,Empact,3
8535,123521,eric1234,1
8049,123521,bmizerany,1
9293,123521,kmayer,1
7937,123521,ricardochimal,291
9166,123521,erithmetic,1
4385,123521,adamwiggins,29
3181,123521,gorsuch,1
7003,123521,technomancy,5
2726,123521,ddollar,64
6884,141238,jmjeong,36
3989,141238,rduplain,4
1471,141238,mpirnat,11
5348,141238,douglatornell,101
5417,141238,nicdumz,5
9835,141238,EnigmaCurry,304
3467,141238,ncw,3
799,141238,szelga,5
2642,141238,Macha,3
2361,141238,antzucaro,1
2595,184711,typicaljoe,44
8931,184711,mcwhittemore,5
9116,184711,leaanthony,1
8238,184711,moshen,1
8279,184711,DanielRuf,7
1677,184711,josecolella,1
8513,184711,mmikowski,12
2348,184711,snapadmin,2
1978,184711,noyesa,1
9106,184711,aisera-mikowski,9
9727,206357,szlta,39
10231,206357,zjffdu,3
268,206357,rangadi,6
1739,206357,ashutoshc,28
3861,206357,gdfm,28
6579,206357,omalley,3
9088,206357,r0hini,329
10134,206357,julienledem,37
3392,206357,gkesavan,5
3161,206357,breed,3
8993,206417,nomiro,343
283,206417,fdmanana,737
10009,206417,nickva,519
8168,206417,jchris,538
6851,206417,davisp,1438
5871,206417,janl,1241
7127,206417,kocolosk,1386
7246,206417,iilyak,766
5584,206417,kxepal,638
5247,206417,rnewson,1336
3716,208865,xKerman,1
9037,208865,swdyh,150
3233,221032,showstopper,109
8816,221032,mt2d2,31
8686,221032,nddrylliog,589
9881,221032,horasal,53
261,221032,roja,26
6885,221032,joshthecoder,30
9595,221032,fredreichbier,253
2424,221032,alexnask,362
5268,221032,fasterthanlime,226
7083,221032,nilium,21
9396,356500,nagos,7
2824,356500,hyperlink,9
4702,356500,takuo,13
8711,356500,Ikke,8
2448,356500,cezarsa,551
1494,356500,flano-yuki,6
8683,356500,rsvargas,7
7247,356500,stewartallen,8
2366,356500,skarcha,24
8479,356500,theaob,6
7906,363020,e2,1
9931,363020,bgoldsworthy,1
1290,363020,jinzhu,986
3420,363020,YorikSar,4
9340,363020,kezabelle,3
4912,363020,hbt,144
665,363020,pyx,3
4142,363020,coderofsalvation,3
6480,363020,boris-petrov,205
9474,363020,markstos,3
6970,376833,kares,5
8384,376833,jashkenas,57
7605,376833,reefdog,7
4399,376833,jdeff,7
4122,376833,robotblake,2
2819,376833,YurySolovyov,4
2253,376833,knowtheory,9
896,376833,ghazel,2
1,376833,alubbe,3
6304,376833,josh,4
6451,416980,setomits,2
7177,416980,myakura,1
286,416980,hnakamur,15
3332,416980,rinopo,3
6639,416980,ku,36
1241,416980,milligramme,2
8010,416980,tobynet,2
7200,416980,patkujawa-wf,6
63,450606,morpheusthewhite,1
4811,450606,Scriptor,1009
5538,450606,Pizzorni,1
1754,450606,igorw,1
10168,450606,francescoagati,77
9978,450606,cpressey,1
2489,450606,jeromebaum,4
661,450606,jcmoyer,1
6085,476745,jamiew,3
5471,476745,Sense545,1
3089,482795,ju1ius,4
4028,482795,peter-kolenic,3
7454,482795,uwetews,1
10108,482795,simonwelsh,1
4676,482795,cognifloyd,1
531,484437,sanduhrs,1
8139,484437,abourget,1
2670,484437,jeremys,7
3641,488856,zubairov,1
1469,488856,oleics,1
2151,488856,sammerry,1
8489,488856,raycmorgan,46
3366,488856,deestan,1
193,488856,pdehaan,1
5506,488856,farvilain,1
10248,488856,diegossilveira,1
1216,488856,raymorgan,2
2343,488856,shawnfeldman,2
8390,502238,andrewh42,3
8217,502238,marcelosalloum,4
2679,502238,x2on,205
8088,502238,fjolnir,2
7046,502238,mpfluger,3
3306,502238,gpongelli,3
4880,502238,bithug,3
10188,502238,oneton,29
592,502238,omochi,3
5561,502238,pieterclaerhout,2
3673,505514,yukideluxe,4
9283,505514,wjordan,3
8900,505514,annaswims,1
8600,505514,wbharding,3
4809,505514,jkowens,2
1004,505514,t27duck,1
5642,505514,aoby,1
7331,505514,bdurand,18
7222,543241,wjrogers,6
2102,543241,alzaleski,11
108,543241,pnevares,24
1851,543241,boarder2,35
9143,543241,Haxim,20
6193,543241,ThomW,56
7232,543241,claym,7
4144,543241,arhughes,236
10060,543241,electroly,133
6251,543241,WombatFromHell,827
3777,581957,cpatulea,1
6961,581957,GitTom,2
8697,581957,wadetb,4
4716,581957,abudden,1
3719,581957,jhoenicke,2
271,581957,bitboxer,142
7996,581957,heavensrevenge,234
1195,581957,adamghill,1
27,581957,samelawrence,2
712,581957,miquelfire,2
5358,607353,rctay,4
4889,607353,vnayar,2
8237,607353,dwo,1
4391,607353,longhotsummer,1
1812,607353,jcoglan,371
9794,607353,alexandrelaplante,1
8657,607353,nathanl,1
9190,642259,kstephens,2
1358,642259,larsmans,1
524,642259,eholk,2
9212,648332,RichardTea,186
9490,648332,MalcolmTyrrell,138
3838,648332,smalcom,94
264,648332,turol,369
4627,648332,escherstair,82
6567,648332,kimkulling,4881
5453,648332,acgessler,689
9702,648332,dhritzkiv,76
387,648332,LegalizeAdulthood,81
7960,648332,terziman,126
3879,666669,jordanlewis,1
8876,666669,brianm,1
1294,666669,krukow,35
6169,711945,samuel-aubin,8
6437,711945,stuntgoat,6
9180,711945,mselender,8
4902,711945,cagedmantis,4
1951,711945,dcordes,1
495,711945,gevorghari,8
6139,711945,fjania,1
96,711945,ebergerson,5
10227,711945,AlgorithmsNYC,42
8442,711945,AntiTyping,8
935,723884,rogerswb,18
9818,723884,jahlborn,12
4103,723884,brianb,58
5929,723884,rutsky,13
6518,723884,evanmiller,491
3077,723884,cyberemissary,19
7284,723884,nyalldawson,38
825,723884,nirgal,36
3094,723884,mjwoodcock,15
797,723884,leecher1337,15
8206,739131,smtlaissezfaire,1
9846,743404,chaoslawful,1
3066,791292,kornelpal,6
2821,791292,lee-m,11
3324,791292,migueldeicaza,49
6197,791292,directhex,13
5495,791292,eyalalalouf,4
2931,791292,rolfbjarne,845
4175,791292,jbevain,2
3169,791292,akoeplinger,5
543,791292,marek-safar,3
482,791292,alexischr,1
10305,796969,arnaud,196
7322,805175,ianromanick,2214
1801,805175,marekolsak,2543
1887,805175,airlied,1588
7215,805175,stereotype441,900
9779,805175,jrfonseca,3255
2009,805175,brianpaul,6881
2327,805175,kaydenl,2338
6342,805175,anholt,4484
4483,805175,aras-p,854
6949,805175,mattst88,1033
8155,858418,JakSprats,49
7012,867842,steven-schronk,21
5525,917426,jameslarking,12
5339,917426,AD7six,2
1190,917426,nojimage,6
1189,917426,k1LoW,26
2651,917426,CauanCabral,18
2817,917426,kaz29,3
6011,917426,ichikaway,194
6462,917426,seguer,3
6585,917426,nops,1
2763,917426,predominant,2
6112,939031,dboehmer,3
9537,939031,fgabolde,1
7587,939031,kentfredric,11
7463,939031,FGasper,1
3409,939031,rjbs,108
2949,939031,dsteinbrunner,2
9723,939031,akarelas,1
4508,939031,zoffixznet,2
6261,939031,karenetheridge,13
548,939031,dionys,2
5777,956943,yamanq,1
5241,956943,leifdenby,1
5038,956943,Guy1524,1
6996,956943,artemave,329
6003,956943,WofWca,2
3721,956943,Gitoffthelawn,1
5168,959599,sdecima,2
7326,959599,faulkner,2
7491,959599,tsenart,47
7607,959599,LeoColomb,2
4114,959599,bentruyman,2
5048,959599,gagallo7,2
2882,959599,alizahid,1
5838,959599,jonaldomo,3
