,Repo,Contributor,Contributions
687,1874,diegodurs,3
1066,1874,hagabaka,3
218,1874,hipe,23
546,1874,kassens,5
1228,1874,jgarber,20
1002,1874,cjheath,107
698,1874,alexch,2
1051,1874,mikel,11
831,1874,jeremy,11
57,1874,nathansobo,95
346,58618,brosner,15
1190,58618,jtauber,67
261,89912,sgravrock,2
526,89912,gno,2
225,89912,mirek,2
19,89912,mxcl,2
442,89912,lloyd,172
246,89912,octo,10
143,89912,setempler,2
301,89912,7AC,2
557,89912,tjw,8
953,89912,ConradIrwin,4
907,108536,mikeastock,30
915,108536,julien51,14
525,108536,archiloque,50
545,108536,jonallured,140
1046,108536,nakajima,17
1210,108536,HParker,34
353,108536,ezkl,45
1203,108536,knu,19
1109,108536,filiptepper,13
251,108536,pauldix,113
168,186749,ry,138
269,186749,TooTallNate,6
372,186749,indutny,33
882,186749,bnoordhuis,64
395,186749,emberian,4
405,186749,dgwynne,4
219,186749,pgriess,34
946,186749,Hywan,4
279,186749,clifffrey,3
886,186749,kolbyjack,4
865,293812,brasmusson,8
848,293812,mattwynne,33
801,293812,DuCalixte,5
519,293812,Empact,10
690,293812,aslakhellesoy,1011
1200,293812,ghnatiuk,172
642,293812,gaffo,18
1195,293812,sztupi,8
202,293812,msassak,313
1233,293812,os97673,81
318,319491,JanPetterMG,26
179,319491,jrfnl,16
614,319491,mblaney,116
191,319491,ifsnop,15
89,319491,rmccue,268
310,319491,Art4,6
285,319491,Alkarex,29
352,319491,gsnedders,673
622,319491,skyzyx,15
1069,319491,devlinjunker,5
1087,346151,yuttie,1
317,346151,nanoant,1
638,346151,tanakh,25
923,441854,cadorn,5
776,441854,akzhan,3
470,441854,rlidwka,3
1184,441854,XhmikosR,27
492,441854,josephturnerjr,2
312,441854,evilstreak,164
46,441854,clement,2
363,441854,coolaj86,2
465,441854,eviltrout,28
610,441854,ashb,171
224,712530,asturur,1347
827,712530,ShaMan123,67
137,712530,Kienz,196
805,712530,twffy,39
1125,712530,inssein,40
728,712530,kangax,2000
1212,712530,rodovich,25
952,712530,sapics,19
757,712530,garg,20
630,712530,GordoRank,50
111,771886,selliera,16
558,771886,Vanuan,5
552,771886,jeremysolarz,46
463,771886,cedricrefresh,9
1016,771886,sclasen,5
1095,771886,mkarg,5
240,771886,simon04,16
396,771886,tgallagher2017,12
1127,771886,cbeust,718
951,771886,dozmus,20
56,851288,cryptomilk,1
1167,851288,touilleMan,32
652,851288,thelostpeace,4
45,851288,DelusionalLogic,2
787,851288,ndevilla,26
521,851288,nicolas314,4
454,851288,Tropicao,1
1220,851288,noelpower,10
235,851288,dobragab,2
4,851288,ahippo,2
128,854624,omarqureshi,3
