,id,topic
0,18323044,css
1,18323044,javascript
2,18323044,tooltip
3,18323044,tooltips
4,140614041,3d
5,140614041,protocol
6,140614041,robotics
7,140614041,self-driving-car
8,108483013,"['3d-tiles', 'cesium', 'gltf', 'obj23dtiles']"
9,108483013,"['3d-tiles', 'cesium', 'gltf', 'obj23dtiles']"
10,5421296,3d
11,5421296,c-plus-plus
12,5421296,cpp
13,5421296,loader
14,5421296,wavefront
15,128236911,3d
16,128236911,deep-learning
17,128236911,object-detection
18,128236911,point-cloud
19,128236911,robotics
20,185451639,2d-3d
21,185451639,3d-data
22,185451639,3d-landmarks
23,185451639,3d-mesh
24,185451639,3d-models
25,185451639,benchmark-datasets
26,185451639,computer-vision
27,185451639,face
28,185451639,face-reconstruction
29,185451639,flame
30,185451639,flame-model
31,185451639,morphable-model
32,185451639,python
33,185451639,ringnet
34,185451639,single-image-reconstruction
35,185451639,tensorflow
36,185451639,triplet-loss
37,61457547,3d-models
38,61457547,computer-vision
39,61457547,face-alignment
40,61457547,face-swap
41,61457547,optimization
42,161335349,3d
43,161335349,3d-game
44,161335349,3d-graphics
45,161335349,3d-graphics-engine
46,161335349,cpp
47,161335349,cpp11
48,161335349,d3d11
49,161335349,direct3d
50,161335349,direct3d11
51,161335349,directx
52,161335349,directx-11
53,161335349,directx-3d
54,161335349,directx11
55,161335349,game
56,161335349,game-development
57,161335349,game-engine
58,161335349,gamedev
59,161335349,graphics
60,161335349,graphics-engine
61,161335349,graphics-programming
62,23455046,3d-printer
63,23455046,3d-printing
64,23455046,openscad
65,23455046,reprap
66,23455046,snappy-3d-printer
67,23455046,stl-files
68,14590125,3d-game-engine
69,14590125,data-oriented-design
70,14590125,editor
71,14590125,entity-component-system
72,14590125,game-development
73,14590125,game-engine
74,14590125,linux
75,14590125,windows
76,12971539,android
77,12971539,android-apps
78,12971539,java
79,12971539,payment-authorizations
80,12971539,visa
81,12971539,webview
82,154641455,drone
83,154641455,ipp
84,154641455,mav
85,154641455,path
86,154641455,path-planning
87,154641455,planning
88,101192221,3d-morphable-models
89,101192221,3dmm
90,101192221,basel-face-model
91,101192221,computer-vision
92,101192221,convolutional-neural-networks
93,101192221,dagnn
94,101192221,deep-learning
95,101192221,deep-neural-networks
96,101192221,face
97,101192221,machine-learning
98,101192221,matconvnet
99,101192221,matlab
100,101192221,siamese-network
101,101192221,spatial-transformer-network
102,101192221,stn
103,101192221,vgg-face-matconvnet
104,154606317,slam
105,111953122,3d-face-alignment
106,111953122,3d-model
107,111953122,3d-reconstruction
108,111953122,chumpy
109,111953122,computer-graphics
110,111953122,computer-vision
111,111953122,face
112,111953122,face-alignment
113,111953122,face-model
114,111953122,flame
115,111953122,flame-fitting
116,111953122,flame-model
117,111953122,morphable-model
118,111953122,smpl-x
119,141841852,computer-graphics
120,141841852,computer-vision
121,141841852,deep-learning
122,141841852,scene-understanding
123,98673300,3d
124,98673300,3d-iwgan
125,98673300,gan
126,98673300,generation
127,98673300,paper
128,98673300,reconstruction
129,23489727,3ds
130,23489727,banner
131,23489727,blz
132,23489727,cci
133,23489727,cfa
134,23489727,ctr
135,23489727,cxi
136,23489727,dnasdw
137,23489727,exefs
138,23489727,exh
139,23489727,huffman
140,23489727,lz77
141,23489727,ncch
142,23489727,ncsd
143,23489727,nintendo
144,23489727,rom
145,23489727,romfs
146,23489727,snake
147,23489727,tool
148,23489727,yaz0
149,297334585,accv2020
150,297334585,computer-vision
151,297334585,object-tracker
152,297334585,paper
153,297334585,pose-estimation
154,297334585,region-based
155,375622028,3d-printing
156,213639181,gui
157,213639181,hdl-graph-slam
158,213639181,lidar
159,213639181,point-cloud
160,213639181,ros
161,213639181,slam
162,213639181,velodyne
163,137830527,3d-correspondences
164,137830527,atlasnet
165,137830527,deep-learning
166,93747383,"['3d', 'blockbench', 'electron', 'hytale', 'low-poly', 'minecraft', 'pixel-art']"
167,93747383,"['3d', 'blockbench', 'electron', 'hytale', 'low-poly', 'minecraft', 'pixel-art']"
168,315531850,3d-face
169,315531850,3d-face-alignment
170,315531850,3d-face-reconstruction
171,315531850,3d-morphable-face-model
172,315531850,3d-morphable-models
173,315531850,3dmm
174,315531850,basel-face-model
175,315531850,bfm
176,315531850,face-reconstruction
177,315531850,fitting
178,315531850,monocular-video-reconstruction
179,315531850,pytorch
180,43252465,3d-touch
181,43252465,force-touch
182,43252465,ios
183,43252465,iphone
184,43252465,javascript
185,143003820,biomedical-image-processing
186,143003820,brain-tumor-segmentation
187,143003820,deep-learning
188,143003820,segmentation
189,143003820,tensorflow
190,143003820,unet
191,191771083,3d-engine
192,191771083,3d-graphics
193,191771083,c-plus-plus
194,191771083,cpp
195,191771083,game-editor
196,191771083,game-engine
197,191771083,gamedev
198,191771083,graphics
199,191771083,graphics-engine
200,191771083,imgui
201,191771083,lua
202,191771083,opengl
203,191771083,physically-based-rendering
204,191771083,rendering-engine
205,191771083,windows
206,126500057,3d
207,126500057,android
208,126500057,depth
209,126500057,elevation
210,126500057,layout
211,126500057,matrix
212,126500057,view
213,277516385,3d-detection
214,277516385,paper-code-dataset
215,277516385,point-cloud
216,166886300,"['3d-reconstruction', 'deep-learning', 'deep-neural-networks', 'depth-estimation', 'depth-prediction', 'list']"
217,166886300,"['3d-reconstruction', 'deep-learning', 'deep-neural-networks', 'depth-estimation', 'depth-prediction', 'list']"
218,27135535,c
219,27135535,c-plus-plus
220,27135535,console
221,27135535,fragment-shader
222,27135535,geometry
223,27135535,glfw
224,27135535,glsl
225,27135535,glslviewer
226,27135535,linux
227,27135535,opengl-es
228,27135535,osx
229,27135535,raspberry-pi
230,27135535,raspberrypi
231,27135535,shaders
232,27135535,texture
233,27135535,uniform
234,27135535,vertex-shaders
235,34058391,3d-printer
236,34058391,arduino
237,34058391,esp32
238,34058391,esp8266
239,34058391,esp8285
240,34058391,firmware
241,34058391,marlin
242,34058391,repetier
243,34058391,smoothieware
244,34058391,wifi
245,154797992,3d-sdn
246,154797992,3d-vision
247,154797992,deep-learning
248,154797992,disentangled-representations
